Address,Address Tag,Type,Token Balance,Percentage,Txhash,DateTime,Value,Transfer Type
0x85e1de87a7575c6581f7930f857a3813b66a14d8,FastEx,Eoa,"2,761,959.49",0.03%,,,,
0x27bffb0f09c18539f9a47a39958bb149fe42a155,Binance Deposit Address,Eoa,"2,709,515.92",0.03%,,,,
0x2e51c1f23acc26c9915c16f5f7710a02c408d15e,Binance Deposit Address,Eoa,"2,630,000.00",0.03%,,,,
0xf4cedc154d5caacadc7727e866a6f52046b60249,-,Eoa,"2,541,105.60",0.03%,,,,
0xbe9bf9ad3b1f54c4690f40328b2d6cb8ff2896a8,-,Eoa,"2,508,923.58",0.03%,,,,
0x37c02c57d48852f92cb44eb48c9191967de59475,-,Eoa,"2,503,087.35",0.03%,,,,
0x90a0ec4d1b3aa603f43ec4349abc033465102538,Binance Deposit Address,Eoa,"2,499,998.14",0.03%,,,,
0x1f356cc150608e4f1334d65bcc448db84cb7cfee,-,Eoa,"2,443,371.48",0.03%,,,,
0x18bd8697c685ac25277839db5c3ca0c92eb11060,-,Eoa,"2,430,005.86",0.03%,,,,
0xa199bed592fbdebaa66674351ae45d5fd9103452,-,Eoa,"2,407,185.92",0.03%,,,,
0xe132372bff3072320c69b356c0ca3a66e4e60d18,Binance Deposit Address,Eoa,"2,400,000.00",0.03%,0x8b7f2d9ba367b8aedb1db1e21f5ca943b6d5dcf154eb8ca53d0cf1798e775156,2024-02-23 02:00:04,"$149,446.35",out
0x8ff25af5e1f9cb97e217260453b7dc30adc3253d,-,Eoa,"2,390,020.77",0.03%,,,,
0xc76b8a8890267637e1fbad757410628481a39510,-,Eoa,"2,286,742.88",0.03%,0xd2249138a001a73cc881fc78485443bc946bfad27ef2e7eb87b99f2e8f40c75f,2024-08-05 01:13:37,"$10,407.64",out
0xf9ce24afbb1fe432478ffad1014ae3bc30de2d82,-,Eoa,"2,282,255.42",0.03%,0x28647d36f2c14ae28a2578e8c657cd61260203e6123b3caac5f881350f25f038,2024-06-28 04:43:20,"$41,346.88",out
0x67aa7498283646dcdb079032a94117b14d975dac,-,Eoa,"2,272,884.51",0.03%,0xdf7d717deb63fcbba9e5eae623bef84ccc7e1e9ef4abb0fd452e15f25704e178,2024-08-05 01:14:10,"$150,162.84",in
0x9628d469da3bb8680dde8876211326c9c21adf07,-,Eoa,"2,269,999.31",0.03%,0xd8e34b5ff021fc1924a7762ca72183dcc55608c069f5c7a3c61d9d93a6c2a1bd,2024-05-20 09:01:10,"$20,166.94",out
0x1f4423ec8a613071ebafdc3eaa7ea1fde3d442f5,Binance Deposit Address,Eoa,"2,268,119.46",0.03%,0xdc5ae389a5a67c83512a7a96a0e42de5906c1f160e0bbeb131ce355eab031fa1,2024-08-04 10:53:41,"$374,072.23",in
0x70afceaa976ca3729e68bda96d363b53a3aacef4,-,Eoa,"2,256,525.98",0.03%,0x68030abf39255feb27a382de2e162e9edf240e49a34cdc5eddb250683b077939,2024-06-12 11:27:49,"$345,672.56",in
0xe1dc7390423c9c876558f4c66bafec0933bc3bce,-,Eoa,"2,231,617.96",0.03%,0x39b489b5137f0a41aaefd281f0223db54d741b6d6fe006b6c26cb8c0e90f768c,2024-08-04 15:53:52,"$1,992,615.01",out
0x320782db1e7bc6eb00276e49e9e25555d69e70a9,-,Eoa,"2,223,100.00",0.03%,0x990e7d0e4a71588bef2c1d4b2a9c71d768c54f0eda585cba06316ec139e09a80,2022-08-09 21:34:47,"$1,239,408.40",in
0x95a3354c63451da2bb3af762b14396c4370f3c9f,-,Eoa,"2,215,419.51",0.03%,0x3bbf54187d69c7f5c8971ad44511e81537c7c42c561c7a864ac5136ce858fa81,2024-08-04 13:25:31,"$996,309.00",out
0x503b7050882335baa0f384c671a23f9e7168a5ba,-,Eoa,"2,200,000.47",0.03%,0x32e2a5f4ce374a3cbf6673f9d77319e16132de6d4182af3ab6f9675cda9514bf,2023-11-29 06:56:46,"$226,719.87",out
0xea0289d7359abb50cd661adffc563f7f8ba138e8,-,Eoa,"2,180,658.23",0.03%,0xd57618a672400e2e826a53d45d8f0d48e6a8a6e64f6606f82d1540d6302460eb,2024-03-26 04:01:59,"$109,606.86",in
0x1febe7bacfa5f76f1474efd6456ac2a374c95dbb,-,Eoa,"2,172,024.14",0.03%,0xf949196dd0884a84f8368100795ba4f9300f894ea505762eb3471cdba09bcf72,2024-07-17 10:08:08,"$2,495,265.85",out
0xa4cdae0f1212ece1504891137a50773db86db3eb,-,Eoa,"2,170,120.19",0.03%,0x6c2d20629ba67621fd0314d2f27ac0209b16273f0696408ca691ae3904f67012,2023-12-25 08:28:14,"$32,842.33",out
0xe2c396050cf5bebd3418568242118561abe4bd23,-,Eoa,"2,140,613.31",0.03%,0xe86527fa7b4eda2729259a70b001fdd56b150f400e1859658030cedc12979d8e,2023-12-27 00:26:03,"$398,528.40",out
0xea374a8ae8d4cfdb33c4a8db56a54d3183712ef6,-,Eoa,"2,115,504.88",0.02%,0xcfc892458ad88bf9e84d04ea7514ee523437327ab166416cef3e549c0e847a81,2024-08-05 01:33:58,"$186,435.79",in
0x5c4fcc526e0e4aa69b90a465dd323c945ddbc4cd,-,Eoa,"2,106,768.40",0.02%,0x03554edd8f9f8e1676c3214b625e09a70b015a74b33d65cdd5495ad5b4b32ce3,2022-03-16 13:15:44,"$61,770.36",in
0x207eaea76fdfeb9e1f46bbb9d19353f62f7e5e4b,-,Eoa,"2,085,914.93",0.02%,0x9369d1f689f74e29784808cc683c2bd968468a01f5cebce1ae48f50dffb4dc20,2024-07-05 11:30:31,"$199,261.80",out
0x16daf9293e49468f0f1c226abba207543e77761c,-,Eoa,"2,077,449.46",0.02%,0xddc24a723431497fa7e2cfe27a064e284bfb2046e48e1d0914c12bd277138862,2024-08-05 02:14:58,"$258,012.15",in
0x7b6bb2e4fa0e8c65630b7db56522e4b732793726,-,Eoa,"2,064,166.80",0.02%,0x807496828236ed7746ca4bf5be893e968bd993fc8257602a432d0a3b65862946,2022-03-29 13:21:36,"$276,920.30",in
0x22bd2a3ffd051e150782d48ad4d02ec6980125df,-,Eoa,"2,053,669.48",0.02%,,,,
